"","Month","Year","Species","Count"
"74",3,1979,"American Black Duck",990
"75",4,1979,"American Black Duck",602
"76",5,1979,"American Black Duck",58
"77",9,1979,"American Black Duck",3484
"78",10,1979,"American Black Duck",26176
"79",11,1979,"American Black Duck",11212
"80",12,1979,"American Black Duck",5334
"81",9,1980,"American Black Duck",258
"82",10,1980,"American Black Duck",2958
"83",11,1980,"American Black Duck",4267
"84",12,1980,"American Black Duck",1676
"85",3,1981,"American Black Duck",2896
"86",4,1981,"American Black Duck",373
"87",5,1981,"American Black Duck",21
"88",11,1981,"American Black Duck",342
"89",3,1982,"American Black Duck",4777
"90",4,1982,"American Black Duck",1326
"91",5,1982,"American Black Duck",2
"92",6,1982,"American Black Duck",3
"93",8,1982,"American Black Duck",58
"94",9,1982,"American Black Duck",2709
"95",10,1982,"American Black Duck",21386
"96",11,1982,"American Black Duck",21051
"97",12,1982,"American Black Duck",17082
"98",2,1984,"American Black Duck",43
"99",3,1984,"American Black Duck",582
"100",4,1984,"American Black Duck",76
"101",5,1984,"American Black Duck",8
"102",8,1984,"American Black Duck",70
"103",9,1984,"American Black Duck",520
"104",10,1984,"American Black Duck",2461
"105",11,1984,"American Black Duck",6445
"106",12,1984,"American Black Duck",5776
"107",1,1985,"American Black Duck",358
"108",3,1985,"American Black Duck",226
"109",4,1985,"American Black Duck",93
"110",5,1985,"American Black Duck",12
"111",6,1985,"American Black Duck",6
"112",8,1985,"American Black Duck",320
"113",9,1985,"American Black Duck",498
"114",10,1985,"American Black Duck",544
"115",11,1985,"American Black Duck",982
"116",12,1985,"American Black Duck",566
"117",1,1986,"American Black Duck",136
"118",3,1986,"American Black Duck",213
"119",4,1986,"American Black Duck",75
"120",5,1986,"American Black Duck",2
"121",6,1986,"American Black Duck",1
"122",8,1986,"American Black Duck",84
"123",9,1986,"American Black Duck",1077
"124",10,1986,"American Black Duck",2123
"125",11,1986,"American Black Duck",6796
"126",12,1986,"American Black Duck",237
"127",1,1987,"American Black Duck",468
"128",3,1987,"American Black Duck",509
"129",4,1987,"American Black Duck",656
"130",5,1987,"American Black Duck",4
"131",9,1987,"American Black Duck",196
"132",10,1987,"American Black Duck",2993
"133",11,1987,"American Black Duck",6066
"134",12,1987,"American Black Duck",5239
"135",1,1988,"American Black Duck",596
"136",3,1988,"American Black Duck",3809
"137",4,1988,"American Black Duck",177
"138",5,1988,"American Black Duck",19
"139",10,1988,"American Black Duck",36
"140",11,1988,"American Black Duck",343
"141",12,1988,"American Black Duck",1018
"142",1,1989,"American Black Duck",293
"143",8,1989,"American Black Duck",24
"144",9,1989,"American Black Duck",361
"145",10,1989,"American Black Duck",1279
"146",11,1989,"American Black Duck",1077
"147",12,1989,"American Black Duck",72
"148",1,1990,"American Black Duck",22
"149",10,1990,"American Black Duck",1920
"150",11,1990,"American Black Duck",12995
"151",12,1990,"American Black Duck",5097
"152",1,1991,"American Black Duck",360
"153",3,1991,"American Black Duck",1742
"154",4,1991,"American Black Duck",2127
"155",5,1991,"American Black Duck",3
"156",9,1991,"American Black Duck",484
"157",10,1991,"American Black Duck",4658
"158",11,1991,"American Black Duck",6190
"159",12,1991,"American Black Duck",4675
"160",1,1992,"American Black Duck",398
"161",3,1992,"American Black Duck",3934
"162",4,1992,"American Black Duck",2216
"163",5,1992,"American Black Duck",5
"164",9,1992,"American Black Duck",218
"165",10,1992,"American Black Duck",741
"166",11,1992,"American Black Duck",3704
"167",12,1992,"American Black Duck",4742
"168",1,1993,"American Black Duck",226
"169",3,1993,"American Black Duck",163
"170",4,1993,"American Black Duck",357
"171",5,1993,"American Black Duck",5
"172",9,1993,"American Black Duck",503
"173",10,1993,"American Black Duck",12699
"174",11,1993,"American Black Duck",6959
"175",12,1993,"American Black Duck",5621
"176",1,1994,"American Black Duck",131
"177",3,1994,"American Black Duck",390
"178",4,1994,"American Black Duck",272
"179",5,1994,"American Black Duck",1
"180",9,1994,"American Black Duck",274
"181",10,1994,"American Black Duck",1794
"182",11,1994,"American Black Duck",7936
"183",12,1994,"American Black Duck",4425
"184",1,1995,"American Black Duck",616
"185",3,1995,"American Black Duck",1823
"186",4,1995,"American Black Duck",432
"187",10,1995,"American Black Duck",9427
"188",11,1995,"American Black Duck",11836
"189",12,1995,"American Black Duck",333
"190",1,1996,"American Black Duck",8
"191",3,1996,"American Black Duck",1085
"192",4,1996,"American Black Duck",1184
"193",5,1996,"American Black Duck",11
"194",9,1996,"American Black Duck",61
"195",10,1996,"American Black Duck",11486
"196",11,1996,"American Black Duck",3733
"197",12,1996,"American Black Duck",312
"198",1,1997,"American Black Duck",283
"199",11,1997,"American Black Duck",517
"200",12,1997,"American Black Duck",283
"201",1,1998,"American Black Duck",117
"202",2,1998,"American Black Duck",466
"203",3,1998,"American Black Duck",1814
"204",4,1998,"American Black Duck",709
"205",9,1998,"American Black Duck",1414
"206",10,1998,"American Black Duck",27566
"207",11,1998,"American Black Duck",39047
"208",12,1998,"American Black Duck",14005
"209",1,1999,"American Black Duck",462
"210",3,1999,"American Black Duck",2138
"211",4,1999,"American Black Duck",1206
"212",5,1999,"American Black Duck",109
"213",8,1999,"American Black Duck",36
"214",9,1999,"American Black Duck",483
"215",10,1999,"American Black Duck",11389
"216",11,1999,"American Black Duck",17854
"217",12,1999,"American Black Duck",6359
"218",1,2000,"American Black Duck",808
"219",3,2000,"American Black Duck",5473
"220",4,2000,"American Black Duck",79
"221",9,2000,"American Black Duck",1301
"222",10,2000,"American Black Duck",8882
"223",11,2000,"American Black Duck",11225
"224",12,2000,"American Black Duck",992
"225",1,2001,"American Black Duck",934
"226",3,2001,"American Black Duck",3148
"227",4,2001,"American Black Duck",2886
"228",5,2001,"American Black Duck",1
"229",9,2001,"American Black Duck",2322
"230",10,2001,"American Black Duck",16237
"231",11,2001,"American Black Duck",15597
"232",12,2001,"American Black Duck",6309
"233",1,2002,"American Black Duck",5099
"234",3,2002,"American Black Duck",10253
"235",4,2002,"American Black Duck",5556
"236",8,2002,"American Black Duck",365
"237",9,2002,"American Black Duck",2471
"238",10,2002,"American Black Duck",23059
"239",11,2002,"American Black Duck",34550
"240",12,2002,"American Black Duck",8045
"241",1,2003,"American Black Duck",1234
"242",3,2003,"American Black Duck",2349
"243",4,2003,"American Black Duck",15945
"244",5,2003,"American Black Duck",239
"245",9,2003,"American Black Duck",1656
"246",10,2003,"American Black Duck",10610
"247",11,2003,"American Black Duck",18115
"248",12,2003,"American Black Duck",896
"249",1,2004,"American Black Duck",12566
