"","OBJECTID","SiteID","Day","Month","Year","Species","Count"
"67",8916,"ELO-STLR_C4",15,12,1992,"LTDU",45
"68",8917,"ELO-STLR_C4",5,1,1993,"LTDU",65
"69",8918,"ELO-STLR_C4",12,12,1995,"LTDU",53
"70",8919,"ELO-STLR_C4",17,11,1999,"LTDU",25
"71",8920,"ELO-STLR_C4",9,4,1999,"LTDU",3
"72",8921,"ELO-STLR_C4",25,3,1999,"LTDU",1
"73",9477,"ELO-STLR_C5",30,4,1976,"LTDU",347
"74",9478,"ELO-STLR_C5",8,4,1976,"LTDU",3
"75",9479,"ELO-STLR_C5",3,12,1976,"LTDU",169
"76",9480,"ELO-STLR_C5",14,4,1978,"LTDU",45
"77",9481,"ELO-STLR_C5",29,4,1986,"LTDU",39
"78",9482,"ELO-STLR_C5",8,12,1986,"LTDU",15
"79",9483,"ELO-STLR_C5",20,11,1986,"LTDU",31
"80",9484,"ELO-STLR_C5",17,3,1986,"LTDU",534
"81",9485,"ELO-STLR_C5",2,1,1986,"LTDU",41
"82",9486,"ELO-STLR_C5",16,4,1986,"LTDU",155
"83",9487,"ELO-STLR_C5",27,3,1986,"LTDU",207
"84",9488,"ELO-STLR_C5",5,11,1987,"LTDU",1
"85",9489,"ELO-STLR_C5",13,1,1987,"LTDU",59
"86",9490,"ELO-STLR_C5",7,1,1988,"LTDU",60
"87",9491,"ELO-STLR_C5",18,11,1988,"LTDU",10
"88",9492,"ELO-STLR_C5",3,1,1989,"LTDU",1
"89",9493,"ELO-STLR_C5",15,12,1989,"LTDU",26
"90",9494,"ELO-STLR_C5",7,11,1990,"LTDU",70
"91",9495,"ELO-STLR_C5",2,1,1991,"LTDU",15
"92",9496,"ELO-STLR_C5",11,12,1991,"LTDU",3
"93",9497,"ELO-STLR_C5",15,12,1992,"LTDU",75
"94",9498,"ELO-STLR_C5",8,1,1992,"LTDU",80
"95",9499,"ELO-STLR_C5",24,11,1992,"LTDU",85
"96",9500,"ELO-STLR_C5",5,1,1993,"LTDU",40
"97",9501,"ELO-STLR_C5",15,11,1994,"LTDU",65
"98",9502,"ELO-STLR_C5",9,11,1995,"LTDU",3
"99",9503,"ELO-STLR_C5",5,11,1998,"LTDU",10
"100",9504,"ELO-STLR_C5",4,11,1999,"LTDU",10
"101",9505,"ELO-STLR_C5",9,4,1999,"LTDU",8
"102",10147,"ELO-STLR_C6",11,3,1976,"LTDU",69
"103",10148,"ELO-STLR_C6",8,4,1976,"LTDU",70
"104",10149,"ELO-STLR_C6",3,12,1976,"LTDU",75
"105",10150,"ELO-STLR_C6",25,5,1976,"LTDU",5
"106",10151,"ELO-STLR_C6",25,3,1976,"LTDU",70
"107",10152,"ELO-STLR_C6",30,4,1976,"LTDU",183
"108",10153,"ELO-STLR_C6",20,1,1977,"LTDU",78
"109",10154,"ELO-STLR_C6",29,4,1986,"LTDU",70
"110",10155,"ELO-STLR_C6",8,12,1986,"LTDU",113
"111",10156,"ELO-STLR_C6",15,5,1986,"LTDU",4
"112",10157,"ELO-STLR_C6",23,10,1986,"LTDU",1
"113",10158,"ELO-STLR_C6",24,9,1986,"LTDU",2
"114",10159,"ELO-STLR_C6",17,3,1986,"LTDU",1644
"115",10160,"ELO-STLR_C6",20,11,1986,"LTDU",62
"116",10161,"ELO-STLR_C6",2,1,1986,"LTDU",12
"117",10162,"ELO-STLR_C6",17,12,1986,"LTDU",92
"118",10163,"ELO-STLR_C6",5,11,1986,"LTDU",50
"119",10164,"ELO-STLR_C6",27,3,1986,"LTDU",628
"120",10165,"ELO-STLR_C6",16,4,1986,"LTDU",223
"121",10166,"ELO-STLR_C6",13,1,1987,"LTDU",23
"122",10167,"ELO-STLR_C6",14,12,1988,"LTDU",26
"123",10168,"ELO-STLR_C6",7,1,1988,"LTDU",27
"124",10169,"ELO-STLR_C6",3,1,1989,"LTDU",70
"125",10170,"ELO-STLR_C6",3,1,1990,"LTDU",3
"126",10171,"ELO-STLR_C6",7,11,1990,"LTDU",290
"127",10172,"ELO-STLR_C6",15,11,1990,"LTDU",16
"128",10173,"ELO-STLR_C6",11,12,1991,"LTDU",70
"129",10174,"ELO-STLR_C6",2,1,1991,"LTDU",111
"130",10175,"ELO-STLR_C6",4,11,1991,"LTDU",8
"131",10176,"ELO-STLR_C6",8,1,1992,"LTDU",3
"132",10177,"ELO-STLR_C6",15,12,1992,"LTDU",66
"133",10178,"ELO-STLR_C6",24,11,1992,"LTDU",30
"134",10179,"ELO-STLR_C6",15,12,1993,"LTDU",160
"135",10180,"ELO-STLR_C6",5,1,1993,"LTDU",3
"136",10181,"ELO-STLR_C6",8,1,1997,"LTDU",4
"137",10182,"ELO-STLR_C6",5,11,1998,"LTDU",25
"138",10183,"ELO-STLR_C6",9,4,1999,"LTDU",2
"139",10184,"ELO-STLR_C6",4,11,1999,"LTDU",1
"140",10185,"ELO-STLR_C6",7,11,2000,"LTDU",16
"141",10186,"ELO-STLR_C6",5,1,2000,"LTDU",6
"142",10978,"ELO-STLR_C7",29,4,1976,"LTDU",16
"143",10979,"ELO-STLR_C7",3,12,1976,"LTDU",243
"144",10980,"ELO-STLR_C7",7,4,1976,"LTDU",82
"145",10981,"ELO-STLR_C7",29,4,1977,"LTDU",2
"146",10982,"ELO-STLR_C7",3,6,1977,"LTDU",2
"147",10983,"ELO-STLR_C7",25,4,1985,"LTDU",23
"148",10984,"ELO-STLR_C7",11,4,1985,"LTDU",47
"149",10985,"ELO-STLR_C7",29,3,1985,"LTDU",116
"150",10986,"ELO-STLR_C7",16,4,1986,"LTDU",92
"151",10987,"ELO-STLR_C7",29,4,1986,"LTDU",39
"152",10988,"ELO-STLR_C7",27,3,1986,"LTDU",36
"153",10989,"ELO-STLR_C7",5,11,1987,"LTDU",4
"154",10990,"ELO-STLR_C7",13,1,1987,"LTDU",105
"155",10991,"ELO-STLR_C7",7,1,1988,"LTDU",150
"156",10992,"ELO-STLR_C7",7,11,1990,"LTDU",24
"157",10993,"ELO-STLR_C7",15,11,1990,"LTDU",2
"158",10994,"ELO-STLR_C7",11,12,1991,"LTDU",20
"159",10995,"ELO-STLR_C7",3,1,1991,"LTDU",1
"160",10996,"ELO-STLR_C7",8,1,1992,"LTDU",85
"161",10997,"ELO-STLR_C7",15,12,1992,"LTDU",223
"162",10998,"ELO-STLR_C7",13,12,1995,"LTDU",2
"163",10999,"ELO-STLR_C7",7,11,2000,"LTDU",10
"164",11000,"ELO-STLR_C7",5,1,2000,"LTDU",32
"165",11857,"ELO-STLR_C8",25,4,1985,"LTDU",11
"166",11858,"ELO-STLR_C8",29,3,1985,"LTDU",37
"167",11859,"ELO-STLR_C8",16,4,1986,"LTDU",77
"168",11860,"ELO-STLR_C8",29,4,1986,"LTDU",10
"169",11861,"ELO-STLR_C8",7,11,1990,"LTDU",1
"170",11862,"ELO-STLR_C8",7,1,1999,"LTDU",13
"171",12893,"ELO-STLR_C9",12,4,1977,"LTDU",8
"172",12894,"ELO-STLR_C9",19,12,1985,"LTDU",1
"173",12895,"ELO-STLR_C9",16,4,1986,"LTDU",4
"174",12896,"ELO-STLR_C9",29,4,1986,"LTDU",3
"175",12897,"ELO-STLR_C9",20,11,1986,"LTDU",16
"176",12898,"ELO-STLR_C9",3,1,1991,"LTDU",5
"177",12899,"ELO-STLR_C9",7,1,1999,"LTDU",3
"178",14514,"ELO-STLR_D1",21,12,1970,"LTDU",9
"179",14515,"ELO-STLR_D1",4,11,1970,"LTDU",115
"180",14516,"ELO-STLR_D1",22,12,1971,"LTDU",113
"181",14517,"ELO-STLR_D1",1,12,1971,"LTDU",75
"182",14518,"ELO-STLR_D1",22,10,1971,"LTDU",429
"183",14519,"ELO-STLR_D1",24,3,1972,"LTDU",14
"184",14520,"ELO-STLR_D1",30,4,1976,"LTDU",30
"185",14521,"ELO-STLR_D1",8,4,1976,"LTDU",26
"186",14522,"ELO-STLR_D1",11,3,1976,"LTDU",18
"187",14523,"ELO-STLR_D1",25,5,1976,"LTDU",3
"188",14524,"ELO-STLR_D1",6,11,1976,"LTDU",3
"189",14525,"ELO-STLR_D1",3,12,1976,"LTDU",47
"190",14526,"ELO-STLR_D1",9,3,1977,"LTDU",2840
"191",14527,"ELO-STLR_D1",8,12,1977,"LTDU",13
"192",14528,"ELO-STLR_D1",15,11,1977,"LTDU",10
"193",14529,"ELO-STLR_D1",29,4,1977,"LTDU",26
"194",14530,"ELO-STLR_D1",12,4,1977,"LTDU",182
"195",14531,"ELO-STLR_D1",25,3,1977,"LTDU",30
"196",14532,"ELO-STLR_D1",14,4,1978,"LTDU",2
"197",14533,"ELO-STLR_D1",6,11,1979,"LTDU",2
"198",14534,"ELO-STLR_D1",7,11,1980,"LTDU",270
"199",14535,"ELO-STLR_D1",6,11,1981,"LTDU",350
"200",14536,"ELO-STLR_D1",6,11,1985,"LTDU",17
"201",14537,"ELO-STLR_D1",2,1,1986,"LTDU",287
"202",14538,"ELO-STLR_D1",29,4,1986,"LTDU",175
"203",14539,"ELO-STLR_D1",15,5,1986,"LTDU",16
"204",14540,"ELO-STLR_D1",8,12,1986,"LTDU",125
"205",14541,"ELO-STLR_D1",16,4,1986,"LTDU",179
"206",14542,"ELO-STLR_D1",27,3,1986,"LTDU",193
"207",14543,"ELO-STLR_D1",17,3,1986,"LTDU",3950
"208",14544,"ELO-STLR_D1",20,11,1986,"LTDU",83
"209",14545,"ELO-STLR_D1",5,11,1987,"LTDU",34
"210",14546,"ELO-STLR_D1",13,1,1987,"LTDU",174
"211",14547,"ELO-STLR_D1",7,1,1988,"LTDU",43
"212",14548,"ELO-STLR_D1",14,12,1988,"LTDU",40
"213",14549,"ELO-STLR_D1",18,11,1988,"LTDU",83
"214",14550,"ELO-STLR_D1",15,12,1989,"LTDU",39
"215",14551,"ELO-STLR_D1",8,11,1989,"LTDU",181
"216",14552,"ELO-STLR_D1",24,10,1989,"LTDU",150
"217",14553,"ELO-STLR_D1",3,1,1989,"LTDU",73
"218",14554,"ELO-STLR_D1",3,1,1990,"LTDU",216
"219",14555,"ELO-STLR_D1",15,11,1990,"LTDU",124
"220",14556,"ELO-STLR_D1",8,11,1990,"LTDU",6
"221",14557,"ELO-STLR_D1",2,1,1991,"LTDU",327
"222",14558,"ELO-STLR_D1",18,11,1991,"LTDU",43
"223",14559,"ELO-STLR_D1",12,12,1991,"LTDU",9
"224",14560,"ELO-STLR_D1",9,1,1992,"LTDU",40
"225",14561,"ELO-STLR_D1",24,11,1992,"LTDU",36
"226",14562,"ELO-STLR_D1",16,12,1993,"LTDU",204
"227",14563,"ELO-STLR_D1",5,1,1993,"LTDU",360
"228",14564,"ELO-STLR_D1",17,11,1993,"LTDU",45
"229",14565,"ELO-STLR_D1",4,11,1994,"LTDU",420
"230",14566,"ELO-STLR_D1",12,12,1995,"LTDU",142
"231",14567,"ELO-STLR_D1",9,11,1995,"LTDU",15
"232",14568,"ELO-STLR_D1",22,11,1995,"LTDU",77
"233",14569,"ELO-STLR_D1",4,11,1996,"LTDU",460
"234",14570,"ELO-STLR_D1",8,12,1997,"LTDU",350
"235",14571,"ELO-STLR_D1",5,11,1997,"LTDU",275
"236",14572,"ELO-STLR_D1",16,12,1998,"LTDU",11600
"237",14573,"ELO-STLR_D1",21,1,1998,"LTDU",149
"238",14574,"ELO-STLR_D1",8,11,1999,"LTDU",32
"239",14575,"ELO-STLR_D1",11,1,1999,"LTDU",15
"240",14576,"ELO-STLR_D1",19,10,1999,"LTDU",6
"241",14577,"ELO-STLR_D1",25,3,1999,"LTDU",18210
"242",14578,"ELO-STLR_D1",12,4,1999,"LTDU",9205
"243",14579,"ELO-STLR_D1",22,4,1999,"LTDU",4084
"244",14580,"ELO-STLR_D1",7,11,2000,"LTDU",477
"245",14581,"ELO-STLR_D1",5,1,2000,"LTDU",3663
"246",14582,"ELO-STLR_D1",9,1,2001,"LTDU",3
"247",15419,"ELO-STLR_D2",4,11,1970,"LTDU",2
"248",15420,"ELO-STLR_D2",9,11,1970,"LTDU",52
"249",15421,"ELO-STLR_D2",1,12,1971,"LTDU",1
"250",15422,"ELO-STLR_D2",22,10,1971,"LTDU",32
"251",15423,"ELO-STLR_D2",22,12,1971,"LTDU",60
"252",15424,"ELO-STLR_D2",24,3,1972,"LTDU",133
"253",15425,"ELO-STLR_D2",30,4,1976,"LTDU",21
"254",15426,"ELO-STLR_D2",11,3,1976,"LTDU",1
"255",15427,"ELO-STLR_D2",25,5,1976,"LTDU",4
"256",15428,"ELO-STLR_D2",8,4,1976,"LTDU",21
"257",15429,"ELO-STLR_D2",25,3,1976,"LTDU",130
"258",15430,"ELO-STLR_D2",8,12,1977,"LTDU",20
"259",15431,"ELO-STLR_D2",15,11,1977,"LTDU",47
"260",15432,"ELO-STLR_D2",6,11,1985,"LTDU",3
"261",15433,"ELO-STLR_D2",2,1,1986,"LTDU",64
"262",15434,"ELO-STLR_D2",8,12,1986,"LTDU",209
"263",15435,"ELO-STLR_D2",27,3,1986,"LTDU",122
"264",15436,"ELO-STLR_D2",29,4,1986,"LTDU",152
"265",15437,"ELO-STLR_D2",20,11,1986,"LTDU",39
"266",15438,"ELO-STLR_D2",15,5,1986,"LTDU",98
"267",15439,"ELO-STLR_D2",16,4,1986,"LTDU",475
"268",15440,"ELO-STLR_D2",5,11,1987,"LTDU",29
"269",15441,"ELO-STLR_D2",13,1,1987,"LTDU",23
"270",15442,"ELO-STLR_D2",7,1,1988,"LTDU",229
"271",15443,"ELO-STLR_D2",14,12,1988,"LTDU",309
"272",15444,"ELO-STLR_D2",18,11,1988,"LTDU",3
"273",15445,"ELO-STLR_D2",8,11,1989,"LTDU",58
"274",15446,"ELO-STLR_D2",24,10,1989,"LTDU",80
"275",15447,"ELO-STLR_D2",15,12,1989,"LTDU",910
"276",15448,"ELO-STLR_D2",3,1,1989,"LTDU",81
"277",15449,"ELO-STLR_D2",3,1,1990,"LTDU",184
"278",15450,"ELO-STLR_D2",15,11,1990,"LTDU",663
"279",15451,"ELO-STLR_D2",2,1,1991,"LTDU",77
"280",15452,"ELO-STLR_D2",18,11,1991,"LTDU",249
"281",15453,"ELO-STLR_D2",12,12,1991,"LTDU",530
"282",15454,"ELO-STLR_D2",24,11,1992,"LTDU",165
"283",15455,"ELO-STLR_D2",9,1,1992,"LTDU",42
"284",15456,"ELO-STLR_D2",5,11,1992,"LTDU",2
"285",15457,"ELO-STLR_D2",5,1,1993,"LTDU",137
"286",15458,"ELO-STLR_D2",16,12,1993,"LTDU",180
"287",15459,"ELO-STLR_D2",17,11,1993,"LTDU",337
"288",15460,"ELO-STLR_D2",5,1,1994,"LTDU",100
"289",15461,"ELO-STLR_D2",4,11,1994,"LTDU",28
"290",15462,"ELO-STLR_D2",12,12,1995,"LTDU",1
"291",15463,"ELO-STLR_D2",9,11,1995,"LTDU",2170
"292",15464,"ELO-STLR_D2",10,1,1995,"LTDU",8
"293",15465,"ELO-STLR_D2",22,11,1995,"LTDU",383
"294",15466,"ELO-STLR_D2",4,11,1996,"LTDU",70
"295",15467,"ELO-STLR_D2",8,1,1997,"LTDU",1445
"296",15468,"ELO-STLR_D2",4,11,1998,"LTDU",2500
"297",15469,"ELO-STLR_D2",21,1,1998,"LTDU",1164
"298",15470,"ELO-STLR_D2",18,11,1999,"LTDU",27400
"299",15471,"ELO-STLR_D2",18,10,1999,"LTDU",35
"300",15472,"ELO-STLR_D2",8,11,1999,"LTDU",800
"301",15473,"ELO-STLR_D2",25,3,1999,"LTDU",8405
"302",15474,"ELO-STLR_D2",11,1,1999,"LTDU",5674
"303",15475,"ELO-STLR_D2",20,5,1999,"LTDU",4
"304",15476,"ELO-STLR_D2",22,4,1999,"LTDU",230
"305",15477,"ELO-STLR_D2",7,11,2000,"LTDU",10020
"306",15478,"ELO-STLR_D2",5,1,2000,"LTDU",10723
"307",15479,"ELO-STLR_D2",7,1,2002,"LTDU",800
"308",15480,"ELO-STLR_D2",7,1,2003,"LTDU",25
"309",15481,"ELO-STLR_D2",6,11,2003,"LTDU",1151
"310",16407,"ELO-STLR_D3",21,12,1970,"LTDU",7
"311",16408,"ELO-STLR_D3",4,11,1970,"LTDU",170
"312",16409,"ELO-STLR_D3",22,12,1971,"LTDU",100
"313",16410,"ELO-STLR_D3",1,12,1971,"LTDU",450
"314",16411,"ELO-STLR_D3",22,10,1971,"LTDU",551
"315",16412,"ELO-STLR_D3",24,3,1972,"LTDU",268
"316",16413,"ELO-STLR_D3",30,4,1976,"LTDU",5
"317",16414,"ELO-STLR_D3",8,4,1976,"LTDU",34
"318",16415,"ELO-STLR_D3",25,5,1976,"LTDU",19
"319",16416,"ELO-STLR_D3",11,3,1976,"LTDU",34
"320",16417,"ELO-STLR_D3",3,12,1976,"LTDU",236
"321",16418,"ELO-STLR_D3",25,3,1976,"LTDU",23
"322",16419,"ELO-STLR_D3",8,12,1977,"LTDU",934
"323",16420,"ELO-STLR_D3",25,3,1977,"LTDU",105
"324",16421,"ELO-STLR_D3",9,3,1977,"LTDU",1326
"325",16422,"ELO-STLR_D3",20,1,1977,"LTDU",645
"326",16423,"ELO-STLR_D3",12,4,1977,"LTDU",275
"327",16424,"ELO-STLR_D3",15,11,1977,"LTDU",1211
"328",16425,"ELO-STLR_D3",19,10,1977,"LTDU",7
"329",16426,"ELO-STLR_D3",6,11,1979,"LTDU",30
"330",16427,"ELO-STLR_D3",7,11,1980,"LTDU",620
"331",16428,"ELO-STLR_D3",6,11,1985,"LTDU",2
"332",16429,"ELO-STLR_D3",2,1,1986,"LTDU",411
"333",16430,"ELO-STLR_D3",29,4,1986,"LTDU",4
"334",16431,"ELO-STLR_D3",27,3,1986,"LTDU",209
"335",16432,"ELO-STLR_D3",5,11,1986,"LTDU",40
"336",16433,"ELO-STLR_D3",20,11,1986,"LTDU",96
"337",16434,"ELO-STLR_D3",8,12,1986,"LTDU",225
"338",16435,"ELO-STLR_D3",17,3,1986,"LTDU",1750
"339",16436,"ELO-STLR_D3",16,4,1986,"LTDU",693
"340",16437,"ELO-STLR_D3",13,1,1987,"LTDU",283
"341",16438,"ELO-STLR_D3",5,11,1987,"LTDU",26
"342",16439,"ELO-STLR_D3",14,12,1988,"LTDU",95
"343",16440,"ELO-STLR_D3",7,1,1988,"LTDU",569
"344",16441,"ELO-STLR_D3",18,11,1988,"LTDU",50
"345",16442,"ELO-STLR_D3",3,11,1988,"LTDU",7
"346",16443,"ELO-STLR_D3",3,1,1989,"LTDU",322
"347",16444,"ELO-STLR_D3",8,11,1989,"LTDU",319
"348",16445,"ELO-STLR_D3",15,12,1989,"LTDU",74
"349",16446,"ELO-STLR_D3",8,11,1990,"LTDU",8
"350",16447,"ELO-STLR_D3",3,1,1990,"LTDU",66
"351",16448,"ELO-STLR_D3",15,11,1990,"LTDU",80
"352",16449,"ELO-STLR_D3",2,1,1991,"LTDU",305
"353",16450,"ELO-STLR_D3",12,12,1991,"LTDU",3
"354",16451,"ELO-STLR_D3",9,1,1992,"LTDU",182
"355",16452,"ELO-STLR_D3",24,11,1992,"LTDU",170
"356",16453,"ELO-STLR_D3",17,11,1993,"LTDU",626
"357",16454,"ELO-STLR_D3",4,11,1993,"LTDU",35
"358",16455,"ELO-STLR_D3",5,1,1993,"LTDU",175
"359",16456,"ELO-STLR_D3",16,12,1993,"LTDU",47
"360",16457,"ELO-STLR_D3",5,1,1994,"LTDU",49
"361",16458,"ELO-STLR_D3",12,12,1995,"LTDU",180
"362",16459,"ELO-STLR_D3",4,11,1996,"LTDU",9
"363",16460,"ELO-STLR_D3",8,12,1997,"LTDU",102
"364",16461,"ELO-STLR_D3",8,1,1997,"LTDU",168
"365",16462,"ELO-STLR_D3",5,11,1997,"LTDU",5
"366",16463,"ELO-STLR_D3",21,1,1998,"LTDU",260
"367",16464,"ELO-STLR_D3",22,4,1999,"LTDU",2089
"368",16465,"ELO-STLR_D3",12,4,1999,"LTDU",225
"369",16466,"ELO-STLR_D3",11,1,1999,"LTDU",30
"370",16467,"ELO-STLR_D3",18,11,1999,"LTDU",70
"371",16468,"ELO-STLR_D3",18,10,1999,"LTDU",2
"372",16469,"ELO-STLR_D3",8,11,1999,"LTDU",413
"373",16470,"ELO-STLR_D3",20,5,1999,"LTDU",301
"374",16471,"ELO-STLR_D3",25,3,1999,"LTDU",320
"375",16472,"ELO-STLR_D3",7,11,2000,"LTDU",900
"376",16473,"ELO-STLR_D3",5,1,2000,"LTDU",2060
"377",16474,"ELO-STLR_D3",9,1,2001,"LTDU",40
"378",16475,"ELO-STLR_D3",8,1,2002,"LTDU",110
"379",16476,"ELO-STLR_D3",7,1,2003,"LTDU",10
"380",16477,"ELO-STLR_D3",6,11,2003,"LTDU",900
"381",16478,"ELO-STLR_D3",7,1,2004,"LTDU",610
"382",17326,"ELO-STLR_D4",21,12,1970,"LTDU",41
"383",17327,"ELO-STLR_D4",9,11,1970,"LTDU",42
"384",17328,"ELO-STLR_D4",4,11,1970,"LTDU",1378
"385",17329,"ELO-STLR_D4",27,10,1970,"LTDU",159
"386",17330,"ELO-STLR_D4",22,12,1971,"LTDU",207
"387",17331,"ELO-STLR_D4",1,12,1971,"LTDU",63
"388",17332,"ELO-STLR_D4",22,10,1971,"LTDU",207
"389",17333,"ELO-STLR_D4",24,3,1972,"LTDU",15
"390",17334,"ELO-STLR_D4",6,11,1976,"LTDU",52
"391",17335,"ELO-STLR_D4",11,3,1976,"LTDU",51
"392",17336,"ELO-STLR_D4",8,4,1976,"LTDU",18
"393",17337,"ELO-STLR_D4",3,12,1976,"LTDU",164
"394",17338,"ELO-STLR_D4",30,4,1976,"LTDU",77
"395",17339,"ELO-STLR_D4",20,1,1977,"LTDU",66
"396",17340,"ELO-STLR_D4",9,3,1977,"LTDU",66
"397",17341,"ELO-STLR_D4",16,4,1986,"LTDU",250
"398",17342,"ELO-STLR_D4",2,1,1986,"LTDU",84
"399",17343,"ELO-STLR_D4",20,11,1986,"LTDU",102
"400",17344,"ELO-STLR_D4",29,4,1986,"LTDU",15
"401",17345,"ELO-STLR_D4",5,11,1986,"LTDU",377
"402",17346,"ELO-STLR_D4",15,5,1986,"LTDU",4
"403",17347,"ELO-STLR_D4",27,3,1986,"LTDU",148
"404",17348,"ELO-STLR_D4",17,3,1986,"LTDU",545
"405",17349,"ELO-STLR_D4",8,12,1986,"LTDU",85
"406",17350,"ELO-STLR_D4",10,10,1986,"LTDU",3
"407",17351,"ELO-STLR_D4",5,11,1987,"LTDU",17
"408",17352,"ELO-STLR_D4",13,1,1987,"LTDU",212
"409",17353,"ELO-STLR_D4",7,1,1988,"LTDU",45
"410",17354,"ELO-STLR_D4",14,12,1988,"LTDU",22
"411",17355,"ELO-STLR_D4",4,11,1988,"LTDU",1
"412",17356,"ELO-STLR_D4",18,11,1988,"LTDU",96
"413",17357,"ELO-STLR_D4",3,1,1989,"LTDU",139
"414",17358,"ELO-STLR_D4",8,11,1989,"LTDU",121
"415",17359,"ELO-STLR_D4",15,12,1989,"LTDU",35
"416",17360,"ELO-STLR_D4",8,11,1990,"LTDU",3
"417",17361,"ELO-STLR_D4",3,1,1990,"LTDU",372
"418",17362,"ELO-STLR_D4",15,11,1990,"LTDU",67
"419",17363,"ELO-STLR_D4",12,12,1991,"LTDU",38
"420",17364,"ELO-STLR_D4",18,11,1991,"LTDU",24
"421",17365,"ELO-STLR_D4",2,1,1991,"LTDU",59
